iter	MAE
0	2.911234188
1	2.780499866
2	2.654613106
3	2.534753807
4	2.421015974
5	2.315489193
6	2.212806142
7	2.116492201
8	2.025730772
9	1.937741162
10	1.856092214
11	1.776664501
12	1.702983057
13	1.631054073
14	1.562510734
15	1.499206063
16	1.437729711
17	1.380735556
18	1.325846469
19	1.2743737
20	1.225716273
21	1.179742378
22	1.134561523
23	1.091537305
24	1.049927559
25	1.011444984
26	0.974820324
27	0.9402217989
28	0.9076743761
29	0.8757254687
30	0.8464948393
31	0.8188676349
32	0.7920241221
33	0.766777023
34	0.7431599309
35	0.7200754501
36	0.6972935531
37	0.6757829185
38	0.6561904144
39	0.6366428597
40	0.6189406992
41	0.6019880735
42	0.585989128
43	0.5708945475
44	0.5565432512
45	0.5431249973
46	0.529759725
47	0.51786921
48	0.5039087143
49	0.4924326932
50	0.4797682037
51	0.4698719609
52	0.4591557473
53	0.4502004544
54	0.4409624143
55	0.4332450502
56	0.4256058885
57	0.4185159037
58	0.4100423257
59	0.4036497513
60	0.39761674
61	0.3919263045
62	0.3866161174
63	0.3815844078
64	0.3756928102
65	0.3709835636
66	0.3669766702
67	0.3607901198
68	0.3571518811
69	0.353664312
70	0.3504829795
71	0.3464067647
72	0.3421559998
73	0.3390709579
74	0.3364850468
75	0.3333274333
76	0.3305558068
77	0.3284822665
78	0.3255715249
79	0.3234433819
80	0.3216124951
81	0.3200031853
82	0.31834481
83	0.3167461632
84	0.3152043229
85	0.3136008252
86	0.3118517749
87	0.3102291292
88	0.3081673859
89	0.3071003706
90	0.3060847088
91	0.3047034146
92	0.3037347293
93	0.3027432046
94	0.3018296597
95	0.3008104053
96	0.3000146413
97	0.2993048325
98	0.2983625743
99	0.2977924162
100	0.297152092
101	0.2965805592
102	0.2959552861
103	0.2954265171
104	0.2940042092
105	0.2935438961
106	0.293095227
107	0.2927005688
108	0.2923288469
109	0.291913622
110	0.2913362516
111	0.2909695941
112	0.2906699053
113	0.2903675798
114	0.2900679561
115	0.2898222344
116	0.2890330669
117	0.2887599947
118	0.2882454197
119	0.2876535376
120	0.2874104846
121	0.2869555881
122	0.2867754953
123	0.286208937
124	0.2858343229
125	0.2856834601
126	0.285501445
127	0.2851117858
128	0.2844268849
129	0.284173574
130	0.2839737892
131	0.283812719
132	0.2835420755
133	0.28324779
134	0.2829396787
135	0.2826521787
136	0.2825123396
137	0.2823045362
138	0.2812241424
139	0.2810149316
140	0.2804888528
141	0.2803232339
142	0.2800727503
143	0.279913615
144	0.2797206507
145	0.2793318288
146	0.2792358272
147	0.2790999098
148	0.2790070417
149	0.2789098841
150	0.2787846572
151	0.2785293776
152	0.2783626328
153	0.2781896239
154	0.2777920511
155	0.2775617311
156	0.277397484
157	0.2772943283
158	0.2768533543
159	0.2764260459
160	0.2762605335
161	0.2761746615
162	0.2759909586
163	0.2758700349
164	0.2756437601
165	0.2753639405
166	0.2751970343
167	0.2750968642
168	0.2749608817
169	0.2748772127
170	0.2747855456
171	0.2744905958
172	0.2744058645
173	0.274019226
174	0.273925932
175	0.2738412493
176	0.2734877364
177	0.2730829497
178	0.2726222132
179	0.2725151384
180	0.2724538252
181	0.2721667086
182	0.2717903038
183	0.2714864992
184	0.2714213151
185	0.2713084182
186	0.2709735399
187	0.2708823095
188	0.2705701432
189	0.2697894687
190	0.2697214479
191	0.2695114908
192	0.2693281592
193	0.2692569583
194	0.2691682048
195	0.2690665929
196	0.268974713
197	0.2688705716
198	0.2686235241
199	0.2685272234
200	0.268298869
201	0.2680954283
202	0.2677860965
203	0.2674364155
204	0.2672920308
205	0.2670746267
206	0.2670332127
207	0.2669306373
208	0.2668397314
209	0.2654940066
210	0.2654385253
211	0.2651502139
212	0.2650333216
213	0.2649214418
214	0.2648674476
215	0.264794945
216	0.2647046718
217	0.2646644401
218	0.2644627674
219	0.2642484984
220	0.26395635
221	0.2638410215
222	0.2637772174
223	0.2636177935
224	0.2634552069
225	0.2632958476
226	0.2631459605
227	0.263033308
228	0.2629598223
229	0.2628538929
230	0.2627519875
231	0.2626818265
232	0.2625957816
233	0.2624234142
234	0.2623605069
235	0.2622984949
236	0.2616488552
237	0.2615808449
238	0.2612408299
239	0.2611510985
240	0.2610648992
241	0.2609883428
242	0.2608755944
243	0.2607031408
244	0.2606006224
245	0.260354884
246	0.2602480894
247	0.2601253171
248	0.2600040029
249	0.2597547742
250	0.2596847906
251	0.2595698053
252	0.2594470938
253	0.2593596568
254	0.2591111076
255	0.2590215038
256	0.2584114543
257	0.2582450345
258	0.2581923927
259	0.2581124996
260	0.2580271253
261	0.2579152257
262	0.2578039502
263	0.257669661
264	0.2575525048
265	0.2574264413
266	0.2572659608
267	0.2570380303
268	0.2568521834
269	0.2566070146
270	0.2564930332
271	0.2563852886
272	0.2563018395
273	0.2561608276
274	0.2560725403
275	0.2560112208
276	0.2558664821
277	0.2557862546
278	0.2556691982
279	0.2555755455
280	0.2554271889
281	0.2552659339
282	0.255156759
283	0.2550727415
284	0.2548802011
285	0.2546726911
286	0.254565927
287	0.2544309956
288	0.2543327657
289	0.2542128908
290	0.2541349785
291	0.2540544423
292	0.2539604219
293	0.2538423859
294	0.2537890546
295	0.253703168
296	0.2535786999
297	0.2535253417
298	0.2533838902
299	0.2531872297
300	0.2530691243
301	0.2529627472
302	0.2527663488
303	0.2527088054
304	0.2526047269
305	0.2525182207
306	0.2524438792
307	0.2523755007
308	0.2520216448
309	0.2519697088
310	0.251918614
311	0.251714679
312	0.2516387845
313	0.2515817873
314	0.2514454548
315	0.2513144131
316	0.2510985397
317	0.2509430194
318	0.2507802433
319	0.2506907042
320	0.2506316132
321	0.2504882656
322	0.2504393887
323	0.2503928515
324	0.250355081
325	0.2502714965
326	0.2502206133
327	0.2501175583
328	0.2500641003
329	0.2500203165
330	0.2499225605
331	0.2498375628
332	0.2497704674
333	0.2496972269
334	0.2494955295
335	0.2487572534
336	0.2486335292
337	0.2485956725
338	0.2485176465
339	0.2484502077
340	0.248307329
341	0.2482333976
342	0.2481476255
343	0.2474113759
344	0.2473133256
345	0.2471659444
346	0.247023401
347	0.2469399933
348	0.2468424796
349	0.2467662893
350	0.2466259287
351	0.2464934473
352	0.2463118066
353	0.2462127571
354	0.2461542009
355	0.2460620788
356	0.2459043958
357	0.2458372667
358	0.2457789679
359	0.2457147422
360	0.2456452907
361	0.2455489794
362	0.245514083
363	0.2454816063
364	0.2453541789
365	0.245304614
366	0.2452349998
367	0.2451561934
368	0.2451027243
369	0.2446606639
370	0.2445289969
371	0.2443870929
372	0.2443055205
373	0.2441538515
374	0.2440973724
375	0.2440455529
376	0.2439872595
377	0.2439281829
378	0.2438507244
379	0.2437899002
380	0.2437227978
381	0.2436224448
382	0.2435610867
383	0.2435053822
384	0.243433521
385	0.243372884
386	0.2433026495
387	0.2431062446
388	0.2424666437
389	0.2424095548
390	0.2422196079
391	0.2421340695
392	0.2420758531
393	0.2420311833
394	0.2419137262
395	0.2417696865
396	0.2416957869
397	0.2415143433
398	0.241422408
399	0.2413929238
400	0.2413515065
401	0.241223095
402	0.2411557553
403	0.241071311
404	0.2410168746
405	0.2409061681
406	0.2408588779
407	0.2407785973
408	0.2407011782
409	0.2403332006
410	0.2402857596
411	0.2402236551
412	0.240148942
413	0.2400962688
414	0.2400343044
415	0.2399022438
416	0.2398404416
417	0.2397874411
418	0.2397253748
419	0.2394371896
420	0.2393753161
421	0.239320568
422	0.2392643213
423	0.2392218459
424	0.2391650258
425	0.2391227699
426	0.2390775706
427	0.2389223174
428	0.2388601734
429	0.2388007281
430	0.2386734793
431	0.2386403118
432	0.2385900572
433	0.238479177
434	0.2383808645
435	0.2382373317
436	0.2382004932
437	0.238109958
438	0.2380460998
439	0.2379349868
440	0.2378527908
441	0.237809072
442	0.2377576995
443	0.2376556872
444	0.2376208977
445	0.2375683621
446	0.2374365814
447	0.2373994556
448	0.2373339753
449	0.2372973274
450	0.2372594587
451	0.2372086294
452	0.2371709142
453	0.2371214907
454	0.2370703935
455	0.2370027278
456	0.2369448853
457	0.23689943
458	0.2368478795
459	0.2366216999
460	0.2365581784
461	0.2364793623
462	0.2364512509
463	0.2363962584
464	0.2363412803
465	0.2359635788
466	0.2354949319
467	0.2354309841
468	0.2353620025
469	0.2353105491
470	0.2351951678
471	0.2351399191
472	0.2341926827
473	0.2341385971
474	0.2340538875
475	0.2340293546
476	0.2339920767
477	0.233909861
478	0.233865147
479	0.2337109017
480	0.2336773997
481	0.2336356311
482	0.2335725247
483	0.2335083109
484	0.2311961061
485	0.2311580066
486	0.2311169353
487	0.2310331013
488	0.2309371026
489	0.230863826
490	0.2307982269
491	0.2306983259
492	0.230632436
493	0.2305881985
494	0.2305405339
495	0.2304746675
496	0.2303602849
497	0.2298778255
498	0.2298399855
499	0.2297876735
