iter	Passed	Remaining
0	193	96497
1	360	89662
2	522	86583
3	676	83862
4	811	80342
5	961	79139
6	1096	77200
7	1210	74459
8	1320	72028
9	1429	70063
10	1536	68292
11	1643	66844
12	1755	65773
13	1872	65000
14	1966	63577
15	2067	62538
16	2184	62051
17	2278	61019
18	2383	60335
19	2492	59824
20	2597	59240
21	2697	58609
22	2808	58248
23	2905	57630
24	3019	57367
25	3120	56888
26	3221	56429
27	3334	56217
28	3442	55912
29	3553	55664
30	3651	55242
31	3745	54777
32	3859	54613
33	3970	54415
34	4086	54290
35	4184	53932
36	4293	53726
37	4404	53543
38	4513	53349
39	4613	53053
40	4722	52871
41	4836	52737
42	4953	52647
43	5061	52455
44	5171	52285
45	5282	52139
46	5378	51835
47	5498	51773
48	5615	51689
49	5728	51557
50	5845	51461
51	5944	51211
52	6058	51099
53	6154	50834
54	6262	50666
55	6382	50600
56	6491	50454
57	6599	50295
58	6707	50136
59	6805	49906
60	6901	49666
61	7010	49526
62	7128	49447
63	7233	49276
64	7330	49059
65	7437	48905
66	7548	48782
67	7665	48695
68	7776	48576
69	7878	48398
70	7983	48237
71	8081	48042
72	8187	47890
73	8296	47762
74	8401	47606
75	8504	47445
76	8607	47284
77	8729	47228
78	8838	47101
79	8940	46939
80	9049	46811
81	9160	46698
82	9271	46581
83	9378	46448
84	9487	46322
85	9601	46218
86	9719	46138
87	9818	45969
88	9930	45860
89	10049	45783
90	10162	45675
91	10267	45534
92	10366	45368
93	10468	45214
94	10587	45135
95	10701	45034
96	10802	44881
97	10923	44806
98	11037	44706
99	11155	44621
100	11272	44530
101	11395	44464
102	11506	44349
103	11611	44212
104	11716	44074
105	11833	43986
106	11945	43874
107	12060	43773
108	12169	43652
109	12288	43569
110	12395	43439
111	12507	43331
112	12618	43216
113	12724	43085
114	12841	42991
115	12944	42850
116	13062	42758
117	13165	42620
118	13267	42477
119	13378	42366
120	13491	42259
121	13608	42163
122	13708	42016
123	13817	41899
124	13932	41798
125	14052	41710
126	14154	41571
127	14271	41476
128	14388	41380
129	14494	41254
130	14596	41114
131	14704	40994
132	14820	40895
133	14914	40735
134	15028	40631
135	15143	40530
136	15242	40387
137	15359	40289
138	15467	40170
139	15569	40035
140	15682	39927
141	15795	39821
142	15897	39689
143	16005	39569
144	16107	39434
145	16207	39298
146	16316	39181
147	16410	39029
148	16518	38912
149	16616	38772
150	16731	38670
151	16836	38547
152	16937	38414
153	17035	38274
154	17143	38157
155	17242	38021
156	17348	37901
157	17464	37802
158	17581	37706
159	17695	37603
160	17804	37488
161	17919	37387
162	18016	37249
163	18126	37137
164	18237	37026
165	18333	36887
166	18427	36744
167	18539	36637
168	18636	36500
169	18745	36388
170	18860	36287
171	18976	36187
172	19083	36071
173	19193	35961
174	19308	35858
175	19418	35747
176	19536	35651
177	19661	35568
178	19772	35458
179	19875	35334
180	19990	35232
181	20097	35115
182	20195	34983
183	20306	34874
184	20421	34771
185	20524	34649
186	20641	34550
187	20738	34416
188	20840	34293
189	20949	34180
190	21048	34052
191	21164	33951
192	21269	33832
193	21381	33726
194	21487	33609
195	21594	33494
196	21696	33371
197	21806	33260
198	21905	33134
199	22018	33027
200	22123	32910
201	22238	32807
202	22348	32697
203	22461	32591
204	22578	32491
205	22691	32384
206	22803	32277
207	22918	32173
208	23027	32062
209	23142	31958
210	23238	31828
211	23341	31708
212	23438	31581
213	23553	31477
214	23655	31357
215	23760	31240
216	23863	31122
217	23984	31025
218	24102	30925
219	24217	30822
220	24319	30702
221	24435	30600
222	24551	30496
223	24660	30385
224	24771	30276
225	24871	30153
226	24968	30028
227	25084	29925
228	25196	29817
229	25310	29711
230	25413	29593
231	25511	29469
232	25628	29368
233	25745	29266
234	25847	29147
235	25965	29046
236	26065	28925
237	26178	28818
238	26275	28694
239	26390	28589
240	26488	28467
241	26609	28368
242	26707	28246
243	26808	28126
244	26925	28024
245	27029	27908
246	27141	27800
247	27270	27710
248	27372	27591
249	27475	27475
250	27579	27359
251	27693	27253
252	27798	27138
253	27897	27018
254	28014	26916
255	28124	26806
256	28226	26688
257	28337	26580
258	28454	26476
259	28557	26361
260	28660	26244
261	28776	26140
262	28886	26030
263	28991	25916
264	29088	25795
265	29192	25680
266	29301	25570
267	29415	25464
268	29515	25346
269	29628	25239
270	29744	25134
271	29843	25015
272	29945	24899
273	30050	24786
274	30152	24670
275	30271	24568
276	30385	24462
277	30501	24357
278	30618	24252
279	30734	24148
280	30852	24045
281	30975	23945
282	31076	23828
283	31183	23717
284	31293	23607
285	31408	23501
286	31525	23397
287	31626	23280
288	31742	23175
289	31849	23063
290	31960	22954
291	32053	22832
292	32151	22714
293	32258	22603
294	32372	22496
295	32484	22388
296	32603	22284
297	32715	22176
298	32846	22080
299	32963	21975
300	33062	21858
301	33178	21752
302	33312	21658
303	33417	21545
304	33514	21427
305	33629	21320
306	33746	21215
307	33850	21101
308	33977	21002
309	34082	20889
310	34197	20782
311	34297	20666
312	34403	20554
313	34513	20444
314	34611	20327
315	34713	20213
316	34822	20102
317	34928	19990
318	35024	19873
319	35126	19758
320	35243	19652
321	35346	19539
322	35453	19427
323	35572	19323
324	35687	19216
325	35807	19111
326	35916	19001
327	36033	18895
328	36155	18791
329	36268	18683
330	36373	18571
331	36472	18455
332	36593	18351
333	36712	18246
334	36830	18140
335	36938	18029
336	37051	17920
337	37151	17806
338	37262	17696
339	37379	17590
340	37494	17482
341	37598	17370
342	37714	17262
343	37831	17155
344	37948	17049
345	38050	16935
346	38155	16823
347	38266	16714
348	38387	16608
349	38502	16501
350	38620	16394
351	38719	16279
352	38833	16171
353	38939	16059
354	39047	15948
355	39144	15833
356	39257	15724
357	39365	15614
358	39454	15496
359	39564	15386
360	39683	15279
361	39786	15167
362	39908	15061
363	40013	14950
364	40133	14843
365	40243	14733
366	40346	14621
367	40446	14507
368	40551	14396
369	40666	14288
370	40771	14176
371	40865	14061
372	40983	13954
373	41090	13843
374	41198	13732
375	41310	13623
376	41429	13516
377	41532	13404
378	41641	13294
379	41756	13186
380	41856	13073
381	41972	12965
382	42091	12858
383	42207	12750
384	42314	12639
385	42421	12528
386	42537	12420
387	42643	12309
388	42739	12195
389	42847	12085
390	42959	11976
391	43062	11864
392	43161	11751
393	43275	11642
394	43393	11534
395	43491	11422
396	43608	11314
397	43723	11205
398	43845	11098
399	43964	10991
400	44073	10880
401	44188	10772
402	44315	10666
403	44435	10558
404	44543	10448
405	44647	10337
406	44760	10227
407	44869	10117
408	44986	10009
409	45096	9899
410	45207	9789
411	45331	9682
412	45442	9572
413	45558	9463
414	45673	9354
415	45773	9242
416	45883	9132
417	45999	9023
418	46120	8915
419	46240	8807
420	46342	8696
421	46447	8585
422	46548	8473
423	46667	8364
424	46770	8253
425	46888	8144
426	46990	8033
427	47102	7923
428	47215	7814
429	47328	7704
430	47447	7595
431	47564	7487
432	47678	7377
433	47776	7265
434	47895	7156
435	48009	7047
436	48120	6937
437	48235	6827
438	48353	6718
439	48467	6609
440	48587	6500
441	48699	6390
442	48796	6278
443	48896	6167
444	49010	6057
445	49109	5945
446	49227	5836
447	49327	5725
448	49427	5614
449	49538	5504
450	49660	5395
451	49765	5284
452	49884	5175
453	49994	5065
454	50107	4955
455	50228	4846
456	50347	4737
457	50464	4627
458	50583	4518
459	50697	4408
460	50812	4298
461	50924	4188
462	51052	4079
463	51151	3968
464	51246	3857
465	51341	3745
466	51452	3635
467	51555	3525
468	51671	3415
469	51786	3305
470	51891	3195
471	52001	3084
472	52115	2974
473	52224	2864
474	52321	2753
475	52425	2643
476	52530	2532
477	52641	2422
478	52756	2312
479	52853	2202
480	52973	2092
481	53071	1981
482	53189	1872
483	53294	1761
484	53399	1651
485	53501	1541
486	53599	1430
487	53717	1320
488	53822	1210
489	53934	1100
490	54053	990
491	54169	880
492	54290	770
493	54416	660
494	54538	550
495	54642	440
496	54758	330
497	54881	220
498	54995	110
499	55110	0
